Prix($),Marque,Modèle,Classe,Portes,Longueur(cm),Hauteur(cm),Largeur(cm),Empattement(cm),Moteur(cm³),Poids(t),Carburant,ConsommationVille(L/100km),ConsommationAutoroute(L/100km),PositionMoteur,Transmission,Chevaux,Régime(tr/min),Turbo,Cylindres,Injecteur,TypeMoteur,Alésage(mm),Piston(cm),TauxCompression,CoteRisque
6918.0,Toyota,Corona Hardtop,Break,5,431,150,162,243,1508,1.034,Essence,0.132,0.157,Avant,Traction avant,62,4800,False,4,2BBL,OHC,77,8,9.0,0
7898.0,Toyota,Corolla 1600 (Sw),Break,5,431,150,162,243,1508,1.039,Essence,0.115,0.136,Avant,Quatre roues motrices,62,4800,False,4,2BBL,OHC,77,8,9.0,0
8778.0,Toyota,Carina,Break,5,431,150,162,243,1508,1.411,Essence,0.115,0.136,Avant,Quatre roues motrices,62,4800,False,4,2BBL,OHC,77,8,9.0,0
6938.0,Toyota,Mark Ii,Berline,5,422,135,164,243,1606,0.944,Essence,0.128,0.157,Avant,Traction avant,70,4800,False,4,2BBL,OHC,81,8,9.0,0
7198.0,Toyota,Corolla 1200,Hayon,5,422,134,164,243,1606,0.957,Essence,0.128,0.157,Avant,Traction avant,70,4800,False,4,2BBL,OHC,81,8,9.0,0
7898.0,Toyota,Corona,Berline,5,422,135,164,243,1803,1.032,Diesel,0.145,0.153,Avant,Traction avant,56,4500,False,4,IDI,OHC,83,9,22.5,0
7788.0,Toyota,Corolla,Hayon,5,422,134,164,243,1803,1.032,Diesel,0.162,0.2,Avant,Traction avant,56,4500,False,4,IDI,OHC,83,9,22.5,0
7738.0,Toyota,Corona,Berline,5,422,135,164,243,1606,0.95,Essence,0.162,0.2,Avant,Traction avant,70,4800,False,4,2BBL,OHC,81,8,9.0,0
8358.0,Toyota,Corolla,Hayon,5,422,134,164,243,1606,0.963,Essence,0.119,0.145,Avant,Traction avant,70,4800,False,4,2BBL,OHC,81,8,9.0,0
9258.0,Toyota,Mark Ii,Berline,5,422,134,164,243,1606,0.971,Essence,0.119,0.145,Avant,Traction avant,70,4800,False,4,2BBL,OHC,81,8,9.0,0
8058.0,Toyota,Corolla Liftback,Berline,3,428,134,163,240,1606,0.984,Essence,0.123,0.145,Avant,Propulsion arrière,70,4800,False,4,2BBL,OHC,81,8,9.0,1
8238.0,Toyota,Corona,Hayon,3,428,134,163,240,1606,1.0,Essence,0.123,0.145,Avant,Propulsion arrière,70,4800,False,4,2BBL,OHC,81,8,9.0,1
9298.0,Toyota,Celica Gt Liftback,Berline,3,428,134,163,240,1606,1.027,Essence,0.111,0.123,Avant,Propulsion arrière,112,6600,False,4,MPFI,DOHC,82,8,9.4,1
9538.0,Toyota,Corolla Tercel,Hayon,3,428,134,163,240,1606,1.043,Essence,0.111,0.123,Avant,Propulsion arrière,112,6600,False,4,MPFI,DOHC,82,8,9.4,1
8449.0,Toyota,Corona Liftback,Coupé,3,448,132,167,250,2393,1.152,Essence,0.102,0.128,Avant,Propulsion arrière,116,4800,False,4,MPFI,OHC,92,9,9.3,2
9639.0,Toyota,Corolla,Coupé,3,448,132,167,250,2393,1.15,Essence,0.102,0.128,Avant,Propulsion arrière,116,4800,False,4,MPFI,OHC,92,9,9.3,2
9989.0,Toyota,Starlet,Hayon,3,448,132,167,250,2393,1.157,Essence,0.102,0.128,Avant,Propulsion arrière,116,4800,False,4,MPFI,OHC,92,9,9.3,2
11199.0,Toyota,Tercel,Coupé,3,448,132,167,250,2393,1.215,Essence,0.102,0.128,Avant,Propulsion arrière,116,4800,False,4,MPFI,OHC,92,9,9.3,2
11549.0,Toyota,Corolla,Hayon,3,448,132,167,250,2393,1.231,Essence,0.102,0.128,Avant,Propulsion arrière,116,4800,False,4,MPFI,OHC,92,9,9.3,2
17669.0,Toyota,Cressida,Cabriolet,3,448,135,167,250,2393,1.349,Essence,0.102,0.128,Avant,Propulsion arrière,116,4800,False,4,MPFI,OHC,92,9,9.3,2
8948.0,Toyota,Corolla,Berline,5,446,139,169,260,1999,1.055,Essence,0.123,0.145,Avant,Traction avant,92,4200,False,4,MPFI,OHC,84,9,8.7,-1
10698.0,Toyota,Celica Gt,Berline,5,446,139,169,260,1803,1.125,Diesel,0.128,0.14,Avant,Traction avant,73,4500,True,4,IDI,OHC,83,9,22.5,-1
9988.0,Toyota,Corona,Hayon,5,446,137,169,260,1999,1.095,Essence,0.115,0.136,Avant,Traction avant,92,4200,False,4,MPFI,OHC,84,9,8.7,-1
10898.0,Toyota,Corolla,Berline,5,446,139,169,260,1999,1.095,Essence,0.115,0.136,Avant,Traction avant,92,4200,False,4,MPFI,OHC,84,9,8.7,-1
11248.0,Toyota,Mark Ii,Hayon,5,446,137,169,260,1999,1.115,Essence,0.115,0.136,Avant,Traction avant,92,4200,False,4,MPFI,OHC,84,9,8.7,-1
16558.0,Toyota,Corolla Liftback,Hayon,3,466,132,172,261,2802,1.35,Essence,0.085,0.102,Avant,Propulsion arrière,161,5200,False,6,MPFI,DOHC,83,9,9.3,3
15998.0,Toyota,Corona,Hayon,3,466,132,172,261,2802,1.368,Essence,0.081,0.102,Avant,Propulsion arrière,161,5200,False,6,MPFI,DOHC,83,9,9.3,3
15690.0,Toyota,Starlet,Berline,5,477,137,169,265,2802,1.42,Essence,0.085,0.102,Avant,Propulsion arrière,156,5200,False,6,MPFI,DOHC,83,9,9.2,-1
15750.0,Toyota,Tercel,Break,5,477,137,169,265,2638,1.429,Essence,0.081,0.102,Avant,Propulsion arrière,156,5200,False,6,MPFI,DOHC,83,9,9.2,-1
7775.0,Volkswagen,Rabbit,Berline,3,436,141,166,247,1590,1.026,Diesel,0.157,0.196,Avant,Traction avant,52,4800,False,4,IDI,OHC,76,9,23.0,2
7975.0,Volkswagen,1131 Deluxe Sedan,Berline,3,436,141,166,247,1786,1.002,Essence,0.115,0.145,Avant,Traction avant,85,5250,False,4,MPFI,OHC,81,9,9.0,2
7995.0,Volkswagen,Model 111,Berline,5,436,141,166,247,1590,1.027,Diesel,0.157,0.196,Avant,Traction avant,52,4800,False,4,IDI,OHC,76,9,23.0,2
8195.0,Volkswagen,Type 3,Berline,5,436,141,166,247,1786,1.003,Essence,0.115,0.145,Avant,Traction avant,85,5250,False,4,MPFI,OHC,81,9,9.0,2
8495.0,Volkswagen,411 (Sw),Berline,5,436,141,166,247,1786,1.032,Essence,0.115,0.145,Avant,Traction avant,85,5250,False,4,MPFI,OHC,81,9,9.0,2
9495.0,Volkswagen,Super Beetle,Berline,5,436,141,166,247,1590,1.052,Diesel,0.157,0.179,Avant,Traction avant,68,4500,True,4,IDI,OHC,76,9,23.0,2
9995.0,Volkswagen,Dasher,Berline,5,436,141,166,247,1786,1.043,Essence,0.111,0.136,Avant,Traction avant,100,5500,False,4,MPFI,OHC,81,9,10.0,2
11595.0,Volkswagen,Dasher,Cabriolet,3,405,141,163,240,1786,1.022,Essence,0.102,0.123,Avant,Traction avant,90,5500,False,4,MPFI,OHC,81,9,8.5,3
9980.0,Volkswagen,Rabbit,Hayon,3,421,131,163,240,1786,1.007,Essence,0.102,0.123,Avant,Traction avant,90,5500,False,4,MPFI,OHC,81,9,8.5,3
13295.0,Volkswagen,Rabbit,Berline,5,458,140,170,255,2229,1.207,Essence,0.081,0.102,Avant,Traction avant,110,5500,False,5,MPFI,OHC,81,9,8.5,0
13845.0,Volkswagen,Rabbit Custom,Berline,5,458,140,170,255,1590,1.17,Diesel,0.14,0.162,Avant,Traction avant,68,4500,True,4,IDI,OHC,76,9,23.0,0
12290.0,Volkswagen,Dasher,Break,5,465,140,170,255,1786,1.163,Essence,0.106,0.132,Avant,Traction avant,88,5500,False,4,MPFI,OHC,81,9,9.0,0
12940.0,Volvo,145E (Sw),Berline,5,480,143,171,265,2311,1.321,Essence,0.098,0.119,Avant,Propulsion arrière,114,5400,False,4,MPFI,OHC,96,8,9.5,-2
13415.0,Volvo,144Ea,Break,5,480,146,171,265,2311,1.376,Essence,0.098,0.119,Avant,Propulsion arrière,114,5400,False,4,MPFI,OHC,96,8,9.5,-1
15985.0,Volvo,244Dl,Berline,5,480,143,171,265,2311,1.331,Essence,0.102,0.119,Avant,Propulsion arrière,114,5400,False,4,MPFI,OHC,96,8,9.5,-2
16515.0,Volvo,245,Break,5,480,146,171,265,2311,1.38,Essence,0.102,0.119,Avant,Propulsion arrière,114,5400,False,4,MPFI,OHC,96,8,9.5,-1
18420.0,Volvo,264Gl,Berline,5,480,143,171,265,2130,1.381,Essence,0.072,0.094,Avant,Propulsion arrière,162,5100,True,4,MPFI,OHC,92,8,7.5,-2
18950.0,Volvo,Diesel,Break,5,480,146,171,265,2130,1.432,Essence,0.072,0.094,Avant,Propulsion arrière,162,5100,True,4,MPFI,OHC,92,8,7.5,-1
16845.0,Volvo,145E (Sw),Berline,5,480,141,175,277,2311,1.339,Essence,0.098,0.119,Avant,Propulsion arrière,114,5400,False,4,MPFI,OHC,96,8,9.5,-1
19045.0,Volvo,144Ea,Berline,5,480,141,175,277,2311,1.383,Essence,0.081,0.106,Avant,Propulsion arrière,160,5300,True,4,MPFI,OHC,96,8,8.7,-1
21485.0,Volvo,244Dl,Berline,5,480,141,175,277,2835,1.366,Essence,0.077,0.098,Avant,Propulsion arrière,134,5500,False,6,MPFI,OHCV,91,7,8.8,-1
22470.0,Volvo,246,Berline,5,480,141,175,277,2376,1.459,Diesel,0.111,0.115,Avant,Propulsion arrière,106,4800,True,6,IDI,OHC,76,9,23.0,-1
22625.0,Volvo,264Gl,Berline,5,480,141,175,277,2311,1.389,Essence,0.081,0.106,Avant,Propulsion arrière,114,5400,True,4,MPFI,OHC,96,8,9.5,-1
